id,loss
4,1528.17676944
6,1914.1561963
9,9696.75215923
12,7075.19936647
15,774.445564966
17,2440.06009194
21,2087.01280568
28,807.024597419
32,2845.39421681
43,3091.48335138
46,2940.76334358
50,897.607658121
54,1184.51279113
62,1948.78629109
70,2263.62395209
71,5064.59404093
75,2106.3648998
77,2372.31916598
81,2499.6301378
83,2410.6897059
87,1849.31290987
97,1650.02616351
103,1068.19547339
119,1024.22399631
120,1784.49641982
127,948.201210251
138,5089.86249368
141,3499.35241164
148,690.804162604
150,2488.85186341
151,2259.89967517
158,1459.73807832
160,5938.17384478
165,2528.27680322
168,3788.5873338
169,4103.95481494
177,3025.42185938
178,3662.06404298
184,2205.93360973
194,9547.63966545
198,1696.55376075
203,3479.57212339
211,2440.29876766
217,1234.26656993
219,1241.96533423
221,5334.13383652
227,1846.86999582
230,1461.0317032
235,1989.70452756
240,660.046932614
243,2946.15927551
249,6224.82750647
253,2826.09891726
258,1369.01909859
261,1668.49840428
263,3528.67526376
264,2439.00368656
265,4165.06986532
268,1895.61864227
271,1051.55172975
274,6057.67935325
275,671.163343168
279,1424.3680051
282,1583.19937973
286,3483.7984929
288,1035.95193155
294,2039.99119722
296,998.862011568
297,1438.61671586
300,751.507125604
303,9097.59426692
314,1000.54370415
315,4820.09533769
321,2657.38611225
323,3740.79810864
330,3894.75955881
341,1920.95867969
342,4389.01294332
352,1579.49263162
353,3742.77108789
360,5472.9795716
361,2275.51566969
362,4770.30016354
366,1299.88902309
372,3379.52747367
376,2847.8503549
377,2277.04671519
379,1613.77931023
380,3739.46917431
387,1795.28805798
392,1975.01042857
394,10887.7199684
395,1532.0551311
397,1447.71117284
407,6068.07428085
411,9727.62162713
416,2607.24383417
417,1530.0205922
419,4390.49825546
428,6317.0008086
431,1812.67268168
436,9169.41114215
438,1590.80500386
445,6710.11463856
446,7220.65714981
455,1350.79103688
456,1217.3633949
461,940.432229087
463,1842.26058712
464,3849.52204735
466,1680.68477086
467,1199.15735498
470,1256.71571323
475,1434.69397694
482,3370.05056601
490,3757.99092774
496,1753.78397288
497,4544.68350265
508,2894.80726274
510,1784.65454633
512,1937.85131551
513,3802.79739064
523,1784.39020608
531,5071.91123471
532,2247.8078661
533,1304.98019523
537,1145.31944825
544,5008.34588587
547,2652.71364543
556,8165.46818814
565,1408.05080633
566,1173.32108737
571,1397.37003591
573,1839.0771431
574,894.947038182
581,2027.2545344
585,2118.16527862
589,1708.27859877
597,1850.77315382
601,3352.53598819
602,1785.99485029
613,1434.04044616
616,1390.91572641
619,2183.01482781
622,1790.2032941
623,2098.25811529
629,1653.84762566
634,1510.5055944
638,1032.80511527
642,1041.92415691
643,2062.08349163
645,1013.50509308
648,7607.96533192
652,1179.35981798
664,981.758236562
666,2309.59944662
672,859.52636915
676,2387.41357892
678,4667.94285806
682,1890.99866129
686,3015.20490055
688,2274.35820533
689,1169.17024256
690,1818.45529367
692,13013.9692324
695,1619.14822363
697,4109.65242152
698,2236.15219213
706,2682.9159183
708,1466.52492062
712,2850.87425317
715,4220.80699973
717,1363.5861599
725,3343.91618569
729,1022.26790198
737,1326.14496372
739,5502.97231518
747,3979.95146018
753,2648.93816749
758,2381.59847758
759,2044.91081259
763,1375.43369548
773,4198.52994112
774,2004.97719537
776,1453.59264676
788,2873.26643936
790,3300.97736414
794,922.813984878
801,3045.77376574
802,1363.69055831
805,1384.20488478
809,5319.81915617
812,1605.80504974
825,2515.41024494
828,2108.71261684
830,1355.36797089
833,1114.29724457
850,5618.09161819
852,6393.83444126
862,1449.89196055
863,1338.02220996
864,1570.98209423
865,3770.23201952
868,6742.45510075
872,1543.74607291
879,5337.52700581
880,1577.88011367
883,1219.99872093
886,1333.16840606
923,1701.31967994
924,1476.02634813
932,1443.30559393
945,6424.62594976
947,6678.42267179
948,2235.33862103
955,2757.54868679
963,4135.50479347
979,1332.2457007
989,1476.87013622
994,3044.43518435
995,1840.87420828
998,1379.81813964
1000,4601.14005429
1018,1766.55614279
1019,1580.00774146
1028,1960.66671759
1034,1299.50723282
1038,1648.80817211
1040,1355.25345556
1042,1291.8092676
1057,7323.18125085
1058,2522.59728016
1063,949.935369032
1066,4769.28399601
1071,4222.73299269
1073,3815.50636672
1074,2840.08230484
1077,2866.34158463
1080,9798.35927709
1088,832.904920711
1096,755.632014786
1097,12180.6928657
1105,5891.46432083
1115,1925.88502613
1116,3158.89093124
1122,2281.8461675
1130,5226.34978553
1133,946.617931625
1137,1637.37073928
1140,1938.94159849
1143,8131.14917298
1149,5905.29711141
1150,914.91371887
1153,732.225593363
1157,836.485017913
1180,603.69758624
1183,940.286561614
1188,1577.06942272
1193,1031.01366796
1200,772.16248632
1209,4477.3147963
1214,1894.71082354
1219,1931.368727
1223,6074.58762957
1227,797.446724508
1228,1472.49719769
1229,4594.79831935
1233,862.200687228
1238,6577.97986446
1239,2034.72063168
1241,3396.79258103
1243,1742.15648011
1244,1092.69021645
1245,3328.431835
1277,4774.67083297
1279,3237.71278039
1292,13431.4468756
1293,1375.73237051
1299,9376.19639784
1304,3027.79399347
1313,3827.53511736
1328,2128.60640332
1330,1092.92271362
1334,1456.56095209
1335,1297.55380714
1336,6156.60230719
1341,1024.10706476
1344,1111.98570161
1351,822.8871527
1352,2511.20765068
1354,1506.71979017
1368,4031.69403261
1373,1436.18714108
1375,654.779826847
1381,1494.96677938
1384,4856.4358466
1385,4530.31818623
1388,5681.53465303
1401,6294.65379657
1402,2840.81087033
1404,1483.89431552
1406,1418.42870606
1409,1118.99721589
1422,1381.18731454
1429,3236.2979265
1433,5918.4626707
1438,1078.06229809
1444,1120.01940852
1446,1071.98003816
1450,1124.46951644
1451,757.810570164
1454,1799.24303038
1458,2155.82755072
1461,3724.74927428
1464,6192.51986465
1465,955.7718128
1478,2081.79820336
1479,1603.20612645
1480,2657.94763715
1484,2370.18354483
1486,844.199950459
1488,817.539102114
1489,3448.07247856
1491,986.460285263
1507,2067.03035043
1515,2225.45954644
1519,2834.5475641
1528,1686.96430931
1529,924.78920417
1530,3111.23329578
1532,1143.24238045
1541,1627.42760398
1542,3382.07760422
1547,1281.28505561
1549,1162.27517879
1553,2417.27268432
1554,3095.16271108
1555,1268.07164209
1559,1556.98583662
1565,1542.21211962
1568,1165.42604345
1576,3834.98102411
1579,973.57064186
1592,881.372709552
1596,3427.87500909
1605,895.379459243
1607,1444.54116313
1612,2066.22622621
1617,3124.36995214
1619,2355.76266847
1620,8557.67698829
1624,2752.34768753
1627,1284.51321743
1633,1697.91426331
1636,1228.89937955
1639,1069.76754172
1640,4518.79332658
1644,1099.3314392
1646,1387.58039377
1647,2373.79373455
1654,1292.13113438
1655,3260.00807379
1664,6687.70909634
1665,2175.54880704
1667,5015.71279261
1669,1115.38995857
1678,2297.17225823
1682,1905.06261293
1689,1031.99212058
1690,2794.62081597
1693,5749.51586582
1695,914.266902866
1705,2407.10359853
1706,2618.10856134
1708,2127.01776534
1716,2165.92721949
1720,9036.46365186
1722,1711.36921499
1749,4357.41034375
1750,1476.66019464
1751,5805.6681811
1760,2808.65538411
1763,4197.76810723
1770,1475.04889468
1777,1931.17790231
1785,5866.85357994
1791,1109.92982435
1794,4406.78687822
1800,1200.67647894
1816,1259.53953717
1817,921.563495
1821,3388.91086344
1836,1335.64899335
1838,1678.53525794
1851,1919.66048884
1852,2901.15199744
1854,2529.38003525
1856,785.698873248
1865,752.88580672
1872,1076.20801801
1878,747.529200179
1880,979.104184956
1881,1367.2417838
1882,1784.20217063
1886,822.934440114
1892,1433.38978369
1894,2481.14812904
1898,2857.79845504
1899,2418.8966388
1902,1189.92819505
1903,3754.90559027
1906,1375.72358387
1910,2315.91904811
1911,1709.37098538
1914,3396.57552435
1929,3183.3820056
1932,1367.75059104
1952,960.515370182
1959,1313.41170552
1960,1847.75850906
1976,3859.10497376
1980,3018.79224446
1981,2010.83854146
1987,2150.43453631
1994,1728.33966571
2000,829.45910684
2008,2159.65014415
2011,2412.21383556
2012,5268.04142241
2019,1761.60879896
2022,3493.23002247
2024,9105.72780166
2028,885.360860545
2030,3713.01136722
2031,7292.24166061
2047,1820.66410536
2049,628.770975329
2050,1562.97026308
2051,4336.14171691
2056,1684.96810911
2057,987.249992318
2059,2375.74144392
2069,3779.9259805
2085,1612.36725596
2089,920.227998289
2090,1591.4720551
2101,3065.21680504
2114,2438.38807649
2115,1309.84998159
2118,1271.03898421
2119,2397.00101867
2125,1561.81726501
2128,3077.68280701
2129,1474.86964646
2132,1707.9353375
2133,2400.19782557
2135,723.985200065
2136,1674.38483158
2143,1159.23077815
2144,1125.88495247
2145,2881.89877081
2152,2178.34537177
2160,3566.46477568
2166,1502.64276961
2169,1069.16811557
2170,1386.21554857
